date,price,volume,vix,dxy,fng,hashrate,difficulty,active_addresses,fees_btc,tx_count,funding_mean,funding_abs,ret,vix_chg,dxy_chg,vol_chg,hash_growth,addr_growth,tx_growth,fees_growth,fng_scaled,hash_ma30,hash_ma60,hash_ribbon,ret_lag1,vix_chg_lag1,dxy_chg_lag1,vol_chg_lag1,hash_growth_lag1,addr_growth_lag1,tx_growth_lag1,fees_growth_lag1,fng_scaled_lag1,funding_mean_lag1,funding_abs_lag1,hash_ribbon_lag1
2015-01-02,315.032012939453,7860650,17.7900009155273,91.0800018310547,,323243.653100747,40640955016.5765,,,,,,0.00248861928568722,,,-0.0221305863986832,-0.0368138613046867,,,,,,,,,,,,,,,,,,,
2015-01-03,281.082000732422,33054400,17.7900009155273,91.0800018310547,,331324.744428265,40640955016.5765,,,,,,-0.114027817724646,0,0,1.43628538883232,0.0246925371359286,,,,,,,,0.00248861928568722,,,-0.0221305863986832,-0.0368138613046867,,,,,,,
2015-01-04,264.195007324219,55629100,17.7900009155273,91.0800018310547,,335365.290092025,40640955016.5765,,,,,,-0.0619589497412436,0,0,0.520551756580055,0.0121213241687581,,,,,,,,-0.114027817724646,0,0,1.43628538883232,0.0246925371359286,,,,,,,
2015-01-05,274.473999023438,43962800,19.9200000762939,91.379997253418,,339405.835755784,40640955016.5765,,,,,,0.0381690406620105,0.113087702845695,0.00328834477907147,-0.235362623860738,0.0119761555489237,,,,,,,,-0.0619589497412436,0,0,0.520551756580055,0.0121213241687581,,,,,,,
2015-01-06,286.188995361328,23245700,21.1200008392334,91.5,,317182.834605108,40640955016.5765,,,,,,0.0417958802770668,0.0584962425880224,0.00131236620305941,-0.637223653082401,-0.0677179676251445,,,,,,,,0.0381690406620105,0.113087702845695,0.00328834477907147,-0.235362623860738,0.0119761555489237,,,,,,,
2015-01-07,294.337005615234,24866800,19.3099994659424,91.8899993896484,,299000.379118191,40640955016.5765,,,,,,0.0280729729527449,-0.0895974297911151,0.00425323058911964,0.0674134117653829,-0.0590333398631824,,,,,,,,0.0417958802770668,0.0584962425880224,0.00131236620305941,-0.637223653082401,-0.0677179676251445,,,,,,,
2015-01-08,283.348999023438,19982500,17.0100002288818,92.370002746582,,272736.832303755,40640955016.5765,,,,,,-0.03804603850823,-0.126821648919884,0.00521007746849023,-0.218676689939489,-0.0919371732660323,,,,,,,,0.0280729729527449,-0.0895974297911151,0.00425323058911964,0.0674134117653829,-0.0590333398631824,,,,,,,
2015-01-09,290.407989501953,18718600,17.5499992370605,91.9400024414062,,307081.470445709,40640955016.5765,,,,,,0.0246074446725206,0.0312524865760473,-0.00466606340666242,-0.0653392085900144,0.118605332335919,,,,,,,,-0.03804603850823,-0.126821648919884,0.00521007746849023,-0.218676689939489,-0.0919371732660323,,,,,,,
2015-01-10,274.795989990234,15264300,17.5499992370605,91.9400024414062,,284858.469295033,40640955016.5765,,,,,,-0.0552578268559323,0,0,-0.204000913327178,-0.0751203764185213,,,,,,,,0.0246074446725206,0.0312524865760473,-0.00466606340666242,-0.0653392085900144,0.118605332335919,,,,,,,
2015-01-11,265.660003662109,18200800,17.5499992370605,91.9400024414062,,296980.106286311,40640955016.5765,,,,,,-0.0338116582860213,0,0,0.175948780559825,0.041672553114724,,,,,,,,-0.0552578268559323,0,0,-0.204000913327178,-0.0751203764185213,,,,,,,
2015-01-12,267.795989990234,18880300,19.6000003814697,91.9800033569336,,358478.281006871,43971662056.0896,,,,,,0.00800814975809949,0.110475679259674,0.000434981675696555,0.0366535012609539,0.188202343222789,,,,,,,,-0.0338116582860213,0,0,0.175948780559825,0.041672553114724,,,,,,,
2015-01-13,225.860992431641,72843904,20.5599994659424,92.3099975585938,,229513.533571473,43971662056.0896,,,,,,-0.170305726949132,0.0478178289121884,0.00358125294603351,1.35019979992629,-0.445904510200013,,,,,,,,0.00800814975809949,0.110475679259674,0.000434981675696555,0.0366535012609539,0.188202343222789,,,,,,,
2015-01-14,178.102996826172,97638704,21.4799995422363,92.1600036621094,,330062.319707546,43971662056.0896,,,,,,-0.237557715495306,0.0437748337181048,-0.00162621487014292,0.292955121840091,0.363318159351634,,,,,,,,-0.170305726949132,0.0478178289121884,0.00358125294603351,1.35019979992629,-0.445904510200013,,,,,,,
2015-01-15,209.843994140625,81773504,22.3899993896484,92.3499984741211,,303832.201585092,43971662056.0896,,,,,,0.164002352794029,0.0414921550211496,0.00205945343845659,-0.177320693030556,-0.0828056421255603,,,,,,,,-0.237557715495306,0.0437748337181048,-0.00162621487014292,0.292955121840091,0.363318159351634,,,,,,,
2015-01-16,208.09700012207,38421000,20.9500007629395,92.5199966430664,,325690.633353804,43971662056.0896,,,,,,-0.00836005186080158,-0.0664757205653479,0.00183911095744183,-0.7553490940454,0.0694721519235007,,,,,,,,0.164002352794029,0.0414921550211496,0.00205945343845659,-0.177320693030556,-0.0828056421255603,,,,,,,
2015-01-17,199.259994506836,23469700,20.9500007629395,92.5199966430664,,299460.51523135,43971662056.0896,,,,,,-0.0433938406873038,0,0,-0.49289395760605,-0.0839651111781912,,,,,,,,-0.00836005186080158,-0.0664757205653479,0.00183911095744183,-0.7553490940454,0.0694721519235007,,,,,,,
2015-01-18,210.339004516602,30085100,20.9500007629395,92.5199966430664,,325690.633353804,43971662056.0896,,,,,,0.0541100592971837,0,0,0.248319805076367,0.0839651111781912,,,,,,,,-0.0433938406873038,0,0,-0.49289395760605,-0.0839651111781912,,,,,,,
2015-01-19,214.860992431641,18658300,20.9500007629395,92.5199966430664,,338805.692415031,43971662056.0896,,,,,,0.0212707358504778,0,0,-0.477738945279086,0.0394786921200137,,,,,,,,0.0541100592971837,0,0,0.248319805076367,0.0839651111781912,,,,,,,
2015-01-20,211.315002441406,24051100,19.8899993896484,93.0500030517578,,262301.18122454,43971662056.0896,,,,,,-0.0166413494257487,-0.0519216206057807,0.00571221480531747,0.253889646248279,-0.255932513273034,,,,,,,,0.0212707358504778,0,0,-0.477738945279086,0.0394786921200137,,,,,,,
2015-01-21,226.897003173828,29924600,18.8500003814697,92.9000015258789,,299460.51523135,43971662056.0896,,,,,,0.071146261231994,-0.0537041280483863,-0.00161335364047233,0.218500151052936,0.13248870997483,,,,,,,,-0.0166413494257487,-0.0519216206057807,0.00571221480531747,0.253889646248279,-0.255932513273034,,,,,,,
2015-01-22,233.406005859375,33544600,16.3999996185303,94.2399978637695,,327876.476530675,43971662056.0896,,,,,,0.0282832675639053,-0.139231622561334,0.0143210349905418,0.114195012058449,0.0906540788597265,,,,,,,,0.071146261231994,-0.0537041280483863,-0.00161335364047233,0.218500151052936,0.13248870997483,,,,,,,
2015-01-23,232.878997802734,24621700,16.6599998474121,95,,271044.553932025,43971662056.0896,,,,,,-0.0022604556308039,0.0157293160099541,0.00803219436524483,-0.309247728737233,-0.190353088992115,,,,,,,,0.0282832675639053,-0.139231622561334,0.0143210349905418,0.114195012058449,0.0906540788597265,,,,,,,
2015-01-24,247.84700012207,24782500,16.6599998474121,95,,264487.024401411,43971662056.0896,,,,,,0.0622926248547335,0,0,0.00650959099920812,-0.0244909285351582,,,,,,,,-0.0022604556308039,0.0157293160099541,0.00803219436524483,-0.309247728737233,-0.190353088992115,,,,,,,
2015-01-25,253.718002319336,33582700,16.6599998474121,95,,275416.240285767,43971662056.0896,,,,,,0.0234118023800454,0,0,0.303873294495148,0.0404912113194271,,,,,,,,0.0622926248547335,0,0,0.00650959099920812,-0.0244909285351582,,,,,,,
2015-01-26,273.472991943359,106794000,15.5200004577637,94.8000030517578,,277602.083462638,43971662056.0896,,,,,,0.0749794440652236,-0.0708810833296032,-0.00210745014802693,1.15689069175261,0.00790515091770416,,,,,,,,0.0234118023800454,0,0,0.303873294495148,0.0404912113194271,,,,,,,
2015-01-27,263.475006103516,44399000,17.2199993133545,94.0199966430664,,316947.260646319,43971662056.0896,,,,,,-0.0372443572504526,0.103941914874544,-0.00826195156099274,-0.87768479851065,0.132546208784103,,,,,,,,0.0749794440652236,-0.0708810833296032,-0.00210745014802693,1.15689069175261,0.00790515091770416,,,,,,,
2015-01-28,233.914993286133,44352200,20.4400005340576,94.4700012207031,,324166.338971824,41272873894.697,,,,,,-0.119000737183645,0.171422332338866,0.00477484681111662,-0.00105463372523928,0.0225213158420043,,,,,,,,-0.0372443572504526,0.103941914874544,-0.00826195156099274,-0.87768479851065,0.132546208784103,,,,,,,
2015-01-29,233.513000488281,32213400,18.7600002288818,94.7799987792969,,348786.567248165,41272873894.697,,,,,,-0.00172002063339427,-0.0857668356849648,0.00327606695747207,-0.319779797884102,0.0732031862708134,,,,,,,,-0.119000737183645,0.171422332338866,0.00477484681111662,-0.00105463372523928,0.0225213158420043,,,,,,,
2015-01-30,226.425003051758,26605200,20.9699993133545,94.8000030517578,,285184.310867618,41272873894.697,,,,,,-0.0308239744293868,0.111365856391045,0.000211037792404056,-0.191275829648649,-0.201323864500241,,,,,306911.708951675,,,-0.00172002063339427,-0.0857668356849648,0.00327606695747207,-0.319779797884102,0.0732031862708134,,,,,,,
2015-01-31,217.464004516602,23348200,20.9699993133545,94.8000030517578,,318011.281902739,41272873894.697,,,,,,-0.040380437381728,0,0,-0.130586792054974,0.108950821828026,,,,,306333.242012032,,,-0.0308239744293868,0.111365856391045,0.000211037792404056,-0.191275829648649,-0.201323864500241,,,,,,,
2015-02-01,226.97200012207,29128500,20.9699993133545,94.8000030517578,,348786.567248165,41272873894.697,,,,,,0.0427933220363164,0,0,0.22119718299059,0.0923730426722145,,,,,307184.672483613,,,-0.040380437381728,0,0,-0.130586792054974,0.108950821828026,,,,,,,
2015-02-02,238.22900390625,30612100,19.4300003051758,94.5,,301597.796385178,41272873894.697,,,,,,0.0484057499457036,-0.0762745330738741,-0.00316960695281665,0.0496782792954953,-0.145365401681712,,,,,306193.77421551,,,0.0427933220363164,0,0,0.22119718299059,0.0923730426722145,,,,,,,
2015-02-03,227.268005371094,40783700,17.3299999237061,93.5999984741211,,276977.568108837,41272873894.697,,,,,,-0.0471024508644087,-0.114379179770675,-0.00956946731827646,0.286887136145751,-0.0851575136147407,,,,,304247.51681607,,,0.0484057499457036,-0.0762745330738741,-0.00316960695281665,0.0496782792954953,-0.145365401681712,,,,,,,
2015-02-04,226.852996826172,26594300,18.3299999237061,93.9899978637695,,330321.39604091,41272873894.697,,,,,,-0.00182774484530412,0.0560999583642743,0.00415800372251507,-0.427585584669988,0.176129003501897,,,,,303944.702158908,,,-0.0471024508644087,-0.114379179770675,-0.00956946731827646,0.286887136145751,-0.0851575136147407,,,,,,,
2015-02-05,217.110992431641,22516400,16.8500003814697,94.6999969482422,,301597.796385178,41272873894.697,,,,,,-0.0438935079933485,-0.0841883782518496,0.00752559706256495,-0.166452974522137,-0.0909714898871563,,,,,303425.20088491,,,-0.00182774484530412,0.0560999583642743,0.00415800372251507,-0.427585584669988,0.176129003501897,,,,,,,
2015-02-06,222.266006469727,24435300,17.2900009155273,94.6999969482422,,359044.995696641,41272873894.697,,,,,,0.0234661832756968,0.0257776732089368,0,0.0817848755288253,0.174352856638542,,,,,305426.688104192,,,-0.0438935079933485,-0.0841883782518496,0.00752559706256495,-0.166452974522137,-0.0909714898871563,,,,,,,
2015-02-07,227.753997802734,21604200,17.2900009155273,94.6999969482422,,352889.938627556,41272873894.697,,,,,,0.0243911975438023,0,0,-0.123141067884898,-0.017291448531715,,,,,308098.458314985,,,0.0234661832756968,0.0257776732089368,0,0.0817848755288253,0.174352856638542,,,,,,,
2015-02-08,223.412002563477,17145200,17.2900009155273,94.6999969482422,,262615.768280972,41272873894.697,,,,,,-0.0192484774801889,0,0,-0.231169489177333,-0.295463238797323,,,,,306616.268242827,,,0.0243911975438023,0,0,-0.123141067884898,-0.017291448531715,,,,,,,
2015-02-09,220.110000610352,27791300,18.5499992370605,94.4499969482422,,342533.060667745,44455415962.3438,,,,,,-0.0148901878086081,0.0703413952781706,-0.00264340632981153,0.483004771021985,0.265675285292812,,,,,308538.754621918,,,-0.0192484774801889,0,0,-0.231169489177333,-0.295463238797323,,,,,,,
2015-02-10,219.839004516602,21115100,17.2299995422363,94.7600021362305,,331483.607097818,44455415962.3438,,,,,,-0.00123194336100685,-0.0738177239526205,0.00327684019748453,-0.274734597732966,-0.0327897255090708,,,,,309688.871315635,,,-0.0148901878086081,0.0703413952781706,-0.00264340632981153,0.483004771021985,0.265675285292812,,,,,,,
2015-02-11,219.184997558594,17201900,16.9599990844727,94.9899978637695,,331483.607097818,44455415962.3438,,,,,,-0.00297936986906766,-0.0157944475898155,0.00242419857891285,-0.204968581509515,0,,,,,308789.048852,,,-0.00123194336100685,-0.0738177239526205,0.00327684019748453,-0.274734597732966,-0.0327897255090708,,,,,,,
2015-02-12,221.764007568359,15206200,15.3400001525879,94.0899963378906,,300545.137102021,44455415962.3438,,,,,,0.0116976765480104,-0.100393770496023,-0.00951986831575891,-0.123316603412235,-0.0979800978143821,,,,,311156.768969685,,,-0.00297936986906766,-0.0157944475898155,0.00242419857891285,-0.204968581509515,0,,,,,,,
2015-02-13,235.427001953125,42744400,14.6899995803833,94.1999969482422,,309384.699957963,44455415962.3438,,,,,,0.0597871074457528,-0.04329684426517,0.00116841708840987,1.03353495322761,0.0289874418082157,,,,,310467.514978032,,,0.0116976765480104,-0.100393770496023,-0.00951986831575891,-0.123316603412235,-0.0979800978143821,,,,,,,
2015-02-14,257.321014404297,49732500,14.6899995803833,94.1999969482422,,355792.404951658,44455415962.3438,,,,,,0.0889234937942556,0,0,0.151420450278756,0.139761520782274,,,,,312199.521756917,,,0.0597871074457528,-0.04329684426517,0.00116841708840987,1.03353495322761,0.0289874418082157,,,,,,,
2015-02-15,234.824996948242,56552400,14.6899995803833,94.1999969482422,,296125.35567405,44455415962.3438,,,,,,-0.0914838458402008,0,0,0.128508999050872,-0.183563998714794,,,,,311214.012500926,,,0.0889234937942556,0,0,0.151420450278756,0.139761520782274,,,,,,,
2015-02-16,233.843002319336,28153700,14.6899995803833,94.1999969482422,,349162.732809701,44455415962.3438,,,,,,-0.00419058296067298,0,0,-0.697488857310344,0.164754720123494,,,,,312870.753086871,,,-0.0914838458402008,0,0,0.128508999050872,-0.183563998714794,,,,,,,
2015-02-17,243.610000610352,27363100,15.8000001907349,94.0599975585937,,342533.060667745,44455415962.3438,,,,,,0.0409186284777201,0.0728429904837502,-0.00148729862467611,-0.0284833942400304,-0.0191698606757367,,,,,313432.167330669,,,-0.00419058296067298,0,0,-0.697488857310344,0.164754720123494,,,,,,,
