date,price,volume,vix,dxy,fng,hashrate,difficulty,active_addresses,fees_btc,tx_count,funding_mean,funding_abs
2015-01-01,314.248992919922,8036550,,,,335365.290092025,40640955016.5765,,,,,
2015-01-02,315.032012939453,7860650,17.7900009155273,91.0800018310547,,323243.653100747,40640955016.5765,,,,,
2015-01-03,281.082000732422,33054400,17.7900009155273,91.0800018310547,,331324.744428265,40640955016.5765,,,,,
2015-01-04,264.195007324219,55629100,17.7900009155273,91.0800018310547,,335365.290092025,40640955016.5765,,,,,
2015-01-05,274.473999023438,43962800,19.9200000762939,91.379997253418,,339405.835755784,40640955016.5765,,,,,
2015-01-06,286.188995361328,23245700,21.1200008392334,91.5,,317182.834605108,40640955016.5765,,,,,
2015-01-07,294.337005615234,24866800,19.3099994659424,91.8899993896484,,299000.379118191,40640955016.5765,,,,,
2015-01-08,283.348999023438,19982500,17.0100002288818,92.370002746582,,272736.832303755,40640955016.5765,,,,,
2015-01-09,290.407989501953,18718600,17.5499992370605,91.9400024414062,,307081.470445709,40640955016.5765,,,,,
2015-01-10,274.795989990234,15264300,17.5499992370605,91.9400024414062,,284858.469295033,40640955016.5765,,,,,
2015-01-11,265.660003662109,18200800,17.5499992370605,91.9400024414062,,296980.106286311,40640955016.5765,,,,,
2015-01-12,267.795989990234,18880300,19.6000003814697,91.9800033569336,,358478.281006871,43971662056.0896,,,,,
2015-01-13,225.860992431641,72843904,20.5599994659424,92.3099975585938,,229513.533571473,43971662056.0896,,,,,
2015-01-14,178.102996826172,97638704,21.4799995422363,92.1600036621094,,330062.319707546,43971662056.0896,,,,,
2015-01-15,209.843994140625,81773504,22.3899993896484,92.3499984741211,,303832.201585092,43971662056.0896,,,,,
2015-01-16,208.09700012207,38421000,20.9500007629395,92.5199966430664,,325690.633353804,43971662056.0896,,,,,
2015-01-17,199.259994506836,23469700,20.9500007629395,92.5199966430664,,299460.51523135,43971662056.0896,,,,,
2015-01-18,210.339004516602,30085100,20.9500007629395,92.5199966430664,,325690.633353804,43971662056.0896,,,,,
2015-01-19,214.860992431641,18658300,20.9500007629395,92.5199966430664,,338805.692415031,43971662056.0896,,,,,
2015-01-20,211.315002441406,24051100,19.8899993896484,93.0500030517578,,262301.18122454,43971662056.0896,,,,,
2015-01-21,226.897003173828,29924600,18.8500003814697,92.9000015258789,,299460.51523135,43971662056.0896,,,,,
2015-01-22,233.406005859375,33544600,16.3999996185303,94.2399978637695,,327876.476530675,43971662056.0896,,,,,
2015-01-23,232.878997802734,24621700,16.6599998474121,95,,271044.553932025,43971662056.0896,,,,,
2015-01-24,247.84700012207,24782500,16.6599998474121,95,,264487.024401411,43971662056.0896,,,,,
2015-01-25,253.718002319336,33582700,16.6599998474121,95,,275416.240285767,43971662056.0896,,,,,
2015-01-26,273.472991943359,106794000,15.5200004577637,94.8000030517578,,277602.083462638,43971662056.0896,,,,,
2015-01-27,263.475006103516,44399000,17.2199993133545,94.0199966430664,,316947.260646319,43971662056.0896,,,,,
2015-01-28,233.914993286133,44352200,20.4400005340576,94.4700012207031,,324166.338971824,41272873894.697,,,,,
2015-01-29,233.513000488281,32213400,18.7600002288818,94.7799987792969,,348786.567248165,41272873894.697,,,,,
2015-01-30,226.425003051758,26605200,20.9699993133545,94.8000030517578,,285184.310867618,41272873894.697,,,,,
2015-01-31,217.464004516602,23348200,20.9699993133545,94.8000030517578,,318011.281902739,41272873894.697,,,,,
2015-02-01,226.97200012207,29128500,20.9699993133545,94.8000030517578,,348786.567248165,41272873894.697,,,,,
2015-02-02,238.22900390625,30612100,19.4300003051758,94.5,,301597.796385178,41272873894.697,,,,,
2015-02-03,227.268005371094,40783700,17.3299999237061,93.5999984741211,,276977.568108837,41272873894.697,,,,,
2015-02-04,226.852996826172,26594300,18.3299999237061,93.9899978637695,,330321.39604091,41272873894.697,,,,,
2015-02-05,217.110992431641,22516400,16.8500003814697,94.6999969482422,,301597.796385178,41272873894.697,,,,,
2015-02-06,222.266006469727,24435300,17.2900009155273,94.6999969482422,,359044.995696641,41272873894.697,,,,,
2015-02-07,227.753997802734,21604200,17.2900009155273,94.6999969482422,,352889.938627556,41272873894.697,,,,,
2015-02-08,223.412002563477,17145200,17.2900009155273,94.6999969482422,,262615.768280972,41272873894.697,,,,,
2015-02-09,220.110000610352,27791300,18.5499992370605,94.4499969482422,,342533.060667745,44455415962.3438,,,,,
2015-02-10,219.839004516602,21115100,17.2299995422363,94.7600021362305,,331483.607097818,44455415962.3438,,,,,
2015-02-11,219.184997558594,17201900,16.9599990844727,94.9899978637695,,331483.607097818,44455415962.3438,,,,,
2015-02-12,221.764007568359,15206200,15.3400001525879,94.0899963378906,,300545.137102021,44455415962.3438,,,,,
2015-02-13,235.427001953125,42744400,14.6899995803833,94.1999969482422,,309384.699957963,44455415962.3438,,,,,
2015-02-14,257.321014404297,49732500,14.6899995803833,94.1999969482422,,355792.404951658,44455415962.3438,,,,,
2015-02-15,234.824996948242,56552400,14.6899995803833,94.1999969482422,,296125.35567405,44455415962.3438,,,,,
2015-02-16,233.843002319336,28153700,14.6899995803833,94.1999969482422,,349162.732809701,44455415962.3438,,,,,
2015-02-17,243.610000610352,27363100,15.8000001907349,94.0599975585937,,342533.060667745,44455415962.3438,,,,,
2015-02-18,236.32600402832,25200800,15.4499998092651,94.1999969482422,,355792.404951658,44455415962.3438,,,,,
2015-02-19,240.283004760742,18270500,15.289999961853,94.4000015258789,,362422.077093614,44455415962.3438,,,,,
2015-02-20,243.779006958008,23876700,14.3000001907349,94.25,,366841.858521585,44455415962.3438,,,,,
2015-02-21,244.533996582031,12284200,14.3000001907349,94.25,,304964.918529992,44455415962.3438,,,,,
2015-02-22,235.977005004883,19527000,14.3000001907349,94.25,,333693.497811803,44455415962.3438,,,,,
2015-02-23,238.891998291016,16400000,14.5600004196167,94.5699996948242,,317934.931985704,46684376316.8603,,,,,
2015-02-24,238.735000610352,14200400,13.6899995803833,94.4899978637695,,320255.624919906,46684376316.8603,,,,,
2015-02-25,237.470001220703,11496200,13.8400001525879,94.2099990844727,,362028.097735547,46684376316.8603,,,,,
2015-02-26,236.425994873047,13619400,13.9099998474121,95.2900009155274,,334179.78252512,46684376316.8603,,,,,
2015-02-27,253.828002929688,44013900,13.3400001525879,95.25,,366669.483603951,46684376316.8603,,,,,
2015-02-28,254.263000488281,13949300,13.3400001525879,95.25,,313293.5461173,46684376316.8603,,,,,
2015-03-01,260.201995849609,25213700,13.3400001525879,95.25,,348103.940130333,46684376316.8603,,,,,
2015-03-02,275.670013427734,40465700,13.039999961853,95.4599990844727,,348103.940130333,46684376316.8603,,,,,
2015-03-03,281.701995849609,50461300,13.8599996566772,95.379997253418,,357386.711867142,46684376316.8603,,,,,
2015-03-04,273.092010498047,41383000,14.2299995422363,95.9700012207031,,364348.790669749,46684376316.8603,,,,,
2015-03-05,276.178009033203,41302400,14.039999961853,96.379997253418,,264558.994499053,46684376316.8603,,,,,
2015-03-06,272.722991943359,28918900,15.1999998092651,97.620002746582,,366669.483603951,46684376316.8603,,,,,
2015-03-07,276.260986328125,17825900,15.1999998092651,97.620002746582,,327217.703722513,46684376316.8603,,,,,
2015-03-08,274.35400390625,22067900,15.1999998092651,97.620002746582,,362028.097735547,46684376316.8603,,,,,
2015-03-09,289.606994628906,59178200,15.0600004196167,97.5899963378906,,311208.023870146,47427554950.6483,,,,,
2015-03-10,291.760009765625,67770800,16.6900005340576,98.620002746582,,356003.118215091,47427554950.6483,,,,,
2015-03-11,296.378997802734,33963900,16.8700008392334,99.8000030517578,,391367.666382153,47427554950.6483,,,,,
2015-03-12,294.35400390625,32585200,15.4200000762939,99.1500015258789,,313565.660414617,47427554950.6483,,,,,
2015-03-13,285.337005615234,31421500,16,100.330001831055,,327711.479681442,47427554950.6483,,,,,
2015-03-14,281.885009765625,22612300,16,100.330001831055,,315923.296959088,47427554950.6483,,,,,
2015-03-15,286.393005371094,11970100,16,100.330001831055,,346572.572037208,47427554950.6483,,,,,
2015-03-16,290.592987060547,21516100,15.6099996566772,99.5999984741211,,308850.387325675,47427554950.6483,,,,,
2015-03-17,285.505004882813,21497200,15.6599998474121,99.5899963378906,,337142.025859325,47427554950.6483,,,,,
2015-03-18,256.299011230469,57008000,13.9700002670288,98.5500030517578,,332426.752770383,47427554950.6483,,,,,
2015-03-19,260.928009033203,52732000,14.0699996948242,99.0999984741211,,337142.025859325,47427554950.6483,,,,,
2015-03-20,261.748992919922,18456700,13.0200004577637,97.9100036621094,,332426.752770383,47427554950.6483,,,,,
2015-03-21,260.024993896484,17130100,13.0200004577637,97.9100036621094,,337142.025859325,47427554950.6483,,,,,
2015-03-22,267.959991455078,18438100,13.0200004577637,97.9100036621094,,313565.660414617,47427554950.6483,,,,,
2015-03-23,266.739990234375,22811900,13.4099998474121,97.0299987792969,,358360.754759562,47427554950.6483,,,,,
