date,dxy
2018-12-03,97.0400009155274
2018-12-04,96.9700012207031
2018-12-06,96.8099975585938
2018-12-07,96.5100021362305
2018-12-09,
2018-12-10,97.2200012207031
2018-12-11,97.3899993896485
2018-12-12,97.0400009155274
2018-12-13,97.0599975585938
2018-12-14,97.4400024414063
2018-12-16,
2018-12-17,97.0999984741211
2018-12-18,97.1399993896484
2018-12-19,97.0400009155274
2018-12-20,96.2799987792969
2018-12-21,96.9599990844727
2018-12-23,
2018-12-24,96.5500030517578
2018-12-26,97.0500030517578
2018-12-27,96.4800033569336
2018-12-28,96.3899993896484
2018-12-30,
2018-12-31,96.1699981689453
2019-01-02,96.8199996948242
2019-01-03,96.3099975585938
2019-01-04,96.1900024414063
2019-01-06,
2019-01-07,95.7099990844727
2019-01-08,95.9000015258789
2019-01-09,95.2200012207031
2019-01-10,95.5400009155274
2019-01-11,95.6699981689453
2019-01-13,
2019-01-14,95.5899963378906
2019-01-15,95.9700012207031
2019-01-16,96.0599975585938
2019-01-17,96.0699996948242
2019-01-18,96.3399963378906
2019-01-20,
2019-01-22,96.3000030517578
2019-01-23,96.120002746582
2019-01-24,96.5999984741211
2019-01-25,95.7900009155273
2019-01-27,
2019-01-28,95.75
2019-01-29,95.8199996948242
2019-01-30,95.3399963378906
2019-01-31,95.5800018310547
2019-02-01,95.5800018310547
2019-02-03,
2019-02-04,95.8499984741211
2019-02-05,96.0999984741211
2019-02-06,96.4199981689453
2019-02-07,96.5100021362305
2019-02-08,96.6399993896484
2019-02-10,
2019-02-11,97.0599975585938
2019-02-12,96.7099990844727
2019-02-13,97.129997253418
2019-02-14,96.9800033569336
2019-02-15,96.9199981689453
2019-02-17,
2019-02-19,96.5199966430664
2019-02-20,96.4499969482422
2019-02-21,96.6100006103516
2019-02-22,96.5100021362305
2019-02-24,
2019-02-25,96.4100036621094
2019-02-26,96
2019-02-27,96.1500015258789
2019-02-28,96.1600036621094
2019-03-01,96.5299987792969
2019-03-03,
2019-03-04,96.6800003051758
2019-03-05,96.8499984741211
2019-03-06,96.870002746582
2019-03-07,97.6699981689453
2019-03-08,97.370002746582
2019-03-10,
2019-03-11,97.2200012207031
2019-03-12,96.9400024414062
2019-03-13,96.5500030517578
2019-03-14,96.7900009155274
2019-03-15,96.5999984741211
2019-03-17,
2019-03-18,96.5199966430664
2019-03-19,96.379997253418
2019-03-20,95.7600021362305
2019-03-21,96.5
2019-03-22,96.6500015258789
2019-03-24,
2019-03-25,96.5699996948242
2019-03-26,96.7399978637695
2019-03-27,96.7699966430664
2019-03-28,97.1999969482422
2019-03-29,97.2799987792969
2019-03-31,
2019-04-01,97.25
2019-04-02,97.3600006103516
2019-04-03,97.0899963378906
2019-04-04,97.3099975585938
2019-04-05,97.4000015258789
2019-04-07,
2019-04-08,97.0500030517578
2019-04-09,97.0100021362305
2019-04-10,96.9499969482422
2019-04-11,97.1800003051758
2019-04-12,96.9700012207031
2019-04-14,
2019-04-15,96.9400024414062
2019-04-16,97.0400009155274
2019-04-17,97.0100021362305
2019-04-18,97.4700012207031
2019-04-21,
2019-04-22,97.2799987792969
2019-04-23,97.5699996948242
2019-04-24,98.0999984741211
2019-04-25,98.1999969482422
2019-04-26,98.0100021362305
2019-04-28,
2019-04-29,97.8600006103516
2019-04-30,97.4800033569336
2019-05-01,97.6900024414063
2019-05-02,97.8300018310547
2019-05-03,97.5199966430664
2019-05-05,
2019-05-06,97.5199966430664
2019-05-07,97.629997253418
2019-05-08,97.620002746582
2019-05-09,97.370002746582
2019-05-10,97.3300018310547
2019-05-12,
2019-05-13,97.3199996948242
2019-05-14,97.5299987792969
2019-05-15,97.5699996948242
2019-05-16,97.8399963378906
2019-05-17,98
2019-05-19,
2019-05-20,97.9300003051758
2019-05-21,98.0599975585938
2019-05-22,98.1100006103516
2019-05-23,97.8499984741211
2019-05-24,97.6100006103516
2019-05-26,
2019-05-28,97.9599990844727
2019-05-29,98.1399993896484
2019-05-30,98.1399993896484
2019-05-31,97.75
2019-06-02,
2019-06-03,97.1399993896484
2019-06-04,97.0699996948242
2019-06-05,97.370002746582
2019-06-06,97.0299987792969
2019-06-07,96.6100006103516
2019-06-09,
2019-06-10,96.7600021362305
2019-06-11,96.6900024414063
2019-06-12,97
2019-06-13,97.0100021362305
2019-06-14,97.5699996948242
2019-06-16,
2019-06-17,97.5599975585938
2019-06-18,97.6399993896484
2019-06-19,97.120002746582
2019-06-20,96.629997253418
2019-06-21,96.2200012207031
2019-06-23,
2019-06-24,95.9800033569336
2019-06-25,96.1600036621094
2019-06-26,96.2099990844727
2019-06-27,96.1900024414063
2019-06-28,96.129997253418
2019-06-30,
2019-07-01,96.8399963378906
2019-07-02,96.7300033569336
2019-07-03,96.7699966430664
2019-07-05,97.25
2019-07-07,
2019-07-08,97.379997253418
2019-07-09,97.4899978637695
2019-07-10,97.0999984741211
2019-07-11,97.0500030517578
2019-07-12,96.8099975585938
2019-07-14,
2019-07-15,96.9300003051758
2019-07-16,97.4000015258789
2019-07-17,97.2200012207031
2019-07-18,96.7900009155274
2019-07-19,97.1500015258789
2019-07-21,
2019-07-22,97.2600021362305
2019-07-23,97.7099990844727
2019-07-24,97.7300033569336
2019-07-25,97.8199996948242
2019-07-26,98.0100021362305
2019-07-28,
2019-07-29,98.0400009155274
2019-07-30,98.0500030517578
2019-07-31,98.5199966430664
2019-08-01,98.3899993896484
2019-08-02,98.0999984741211
2019-08-04,
2019-08-05,97.5
2019-08-06,97.629997253418
2019-08-07,97.5400009155273
2019-08-08,97.620002746582
2019-08-09,97.4899978637695
2019-08-11,
2019-08-12,97.379997253418
2019-08-13,97.8099975585938
2019-08-14,97.9899978637695
2019-08-15,98.1399993896484
2019-08-16,98.1399993896484
2019-08-18,
2019-08-19,98.3499984741211
2019-08-20,98.1900024414062
2019-08-21,98.3000030517578
2019-08-22,98.1699981689453
2019-08-23,97.6399993896484
2019-08-25,
2019-08-26,98.0800018310547
2019-08-27,98
2019-08-28,98.2099990844727
2019-08-29,98.5100021362305
2019-08-30,98.9199981689453
