date,vix
2015-01-02,17.7900009155273
2015-01-05,19.9200000762939
2015-01-06,21.1200008392334
2015-01-07,19.3099994659424
2015-01-08,17.0100002288818
2015-01-09,17.5499992370605
2015-01-12,19.6000003814697
2015-01-13,20.5599994659424
2015-01-14,21.4799995422363
2015-01-15,22.3899993896484
2015-01-16,20.9500007629395
2015-01-20,19.8899993896484
2015-01-21,18.8500003814697
2015-01-22,16.3999996185303
2015-01-23,16.6599998474121
2015-01-26,15.5200004577637
2015-01-27,17.2199993133545
2015-01-28,20.4400005340576
2015-01-29,18.7600002288818
2015-01-30,20.9699993133545
2015-02-02,19.4300003051758
2015-02-03,17.3299999237061
2015-02-04,18.3299999237061
2015-02-05,16.8500003814697
2015-02-06,17.2900009155273
2015-02-09,18.5499992370605
2015-02-10,17.2299995422363
2015-02-11,16.9599990844727
2015-02-12,15.3400001525879
2015-02-13,14.6899995803833
2015-02-17,15.8000001907349
2015-02-18,15.4499998092651
2015-02-19,15.289999961853
2015-02-20,14.3000001907349
2015-02-23,14.5600004196167
2015-02-24,13.6899995803833
2015-02-25,13.8400001525879
2015-02-26,13.9099998474121
2015-02-27,13.3400001525879
2015-03-02,13.039999961853
2015-03-03,13.8599996566772
2015-03-04,14.2299995422363
2015-03-05,14.039999961853
2015-03-06,15.1999998092651
2015-03-09,15.0600004196167
2015-03-10,16.6900005340576
2015-03-11,16.8700008392334
2015-03-12,15.4200000762939
2015-03-13,16
2015-03-16,15.6099996566772
2015-03-17,15.6599998474121
2015-03-18,13.9700002670288
2015-03-19,14.0699996948242
2015-03-20,13.0200004577637
2015-03-23,13.4099998474121
2015-03-24,13.6199998855591
2015-03-25,15.4399995803833
2015-03-26,15.8000001907349
2015-03-27,15.0699996948242
2015-03-30,14.5100002288818
2015-03-31,15.289999961853
2015-04-01,15.1099996566772
2015-04-02,14.6700000762939
2015-04-06,14.7399997711182
2015-04-07,14.7799997329712
2015-04-08,13.9799995422363
2015-04-09,13.0900001525879
2015-04-10,12.5799999237061
2015-04-13,13.9399995803833
2015-04-14,13.6700000762939
2015-04-15,12.8400001525879
2015-04-16,12.6000003814697
2015-04-17,13.8900003433228
2015-04-20,13.3000001907349
2015-04-21,13.25
2015-04-22,12.710000038147
2015-04-23,12.4799995422363
2015-04-24,12.289999961853
2015-04-27,13.1199998855591
2015-04-28,12.4099998474121
2015-04-29,13.3900003433228
2015-04-30,14.5500001907349
2015-05-01,12.6999998092651
2015-05-04,12.8500003814697
2015-05-05,14.3100004196167
2015-05-06,15.1499996185303
2015-05-07,15.1300001144409
2015-05-08,12.8599996566772
2015-05-11,13.8500003814697
2015-05-12,13.8599996566772
2015-05-13,13.7600002288818
2015-05-14,12.7399997711182
2015-05-15,12.3800001144409
2015-05-18,12.7299995422363
2015-05-19,12.8500003814697
2015-05-20,12.8800001144409
2015-05-21,12.1099996566772
2015-05-22,12.1300001144409
2015-05-26,14.0600004196167
2015-05-27,13.2700004577637
2015-05-28,13.3100004196167
2015-05-29,13.8400001525879
2015-06-01,13.9700002670288
2015-06-02,14.2399997711182
2015-06-03,13.6599998474121
2015-06-04,14.710000038147
2015-06-05,14.210000038147
2015-06-08,15.289999961853
2015-06-09,14.4700002670288
2015-06-10,13.2200002670288
2015-06-11,12.8500003814697
2015-06-12,13.7799997329712
2015-06-15,15.3900003433228
2015-06-16,14.8100004196167
2015-06-17,14.5
2015-06-18,13.1899995803833
2015-06-19,13.960000038147
2015-06-22,12.7399997711182
2015-06-23,12.1099996566772
2015-06-24,13.2600002288818
2015-06-25,14.0100002288818
2015-06-26,14.0200004577637
2015-06-29,18.8500003814697
2015-06-30,18.2299995422363
2015-07-01,16.0900001525879
2015-07-02,16.7900009155273
2015-07-06,17.0100002288818
2015-07-07,16.0900001525879
2015-07-08,19.6599998474121
2015-07-09,19.9699993133545
